,first_level3,second_level3,first_level2,second_level2,level3,level2
113610_cam_survey_1_frame621.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.7-A4.7,A3
105317_cam-np3_frame1510.jpg,A3.7-A4.7,A3.1-A4.1,A3,A3,A3.7-A4.7,A3
105317_cam-np3_frame1526.jpg,A3.7-A4.7,A3.1-A4.1,A3,A3,A3.7-A4.7,A3
113610_cam_survey_1_frame1090.jpg,A3.7-A4.7,A3.1-A4.1,A3,A3,A3.7-A4.7,A4
113610_cam_survey_1_frame1411.jpg,A3.7-A4.7,A3.1-A4.1,A3,A3,A3.7-A4.7,A3
132143_forcadinho-np3_frame4093.jpg,A3.7-A4.7,A3.1-A4.1,A3,A3,A3.7-A4.7,A3
113610_cam_survey_1_frame511.jpg,A3.7-A4.7,A3.1-A4.1,A3,A3,A3.7-A4.7,A3
113610_cam_survey_1_frame344.jpg,A5.1,A3.1-A4.1,A5,A3,A3.7-A4.7,A3
125355_forcadinho-np3_frame1044.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1-A4.1,A3
132143_forcadinho-np3_frame3217.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1-A4.1,A3
113610_cam_survey_1_frame1423.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1-A4.1,A3
113610_cam_survey_1_frame737.jpg,A5.2,A3.1-A4.1,A5,A3,A3.1-A4.1,A3
132143_forcadinho-np3_frame2128.jpg,A5.1,A5.4,A5,A5,A3.1-A4.1,A3
132143_forcadinho-np3_frame1036.jpg,A5.1,A3.1-A4.1,A5,A3,A3.1-A4.1,A4
105317_cam-np3_frame1722.jpg,A5.1,A3.1-A4.1,A5,A3,A3.1-A4.1,A3
132143_forcadinho-np3_frame3975.jpg,A5.1,A3.1-A4.1,A5,A3,A3.1-A4.1,A3
132143_forcadinho-np3_frame83.jpg,A5.1,A3.1-A4.1,A5,A3,A3.1-A4.1,A4
105317_cam-np3_frame1808.jpg,A5.1,A5.4,A5,A5,A3.1-A4.1,A3
113610_cam_survey_1_frame1444.jpg,A5.1,A5.2,A5,A5,A3.1-A4.1,A3
125355_forcadinho-np3_frame1559.jpg,A5.1,A5.4,A5,A5,A3.1-A4.1,A3
132143_forcadinho-np3_frame2632.jpg,A5.1,A5.2,A5,A5,A3.1-A4.1,A3
113610_cam_survey_1_frame905.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1-A4.1,A3
132143_forcadinho-np3_frame972.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1-A4.1,A3
132143_forcadinho-np3_frame526.jpg,A5.1,A3.1-A4.1,A5,A3,A3.1-A4.1,A4
132143_forcadinho-np3_frame978.jpg,A5.2,A3.1-A4.1,A5,A3,A3.1-A4.1,A3
132143_forcadinho-np3_frame1225.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1-A4.1,A3
132143_forcadinho-np3_frame3962.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1-A4.1,A3
125355_forcadinho-np3_frame1629.jpg,A3.7-A4.7,A3.1-A4.1,A3,A3,A3.1-A4.1,A3
132143_forcadinho-np3_frame3879.jpg,A5.2,A3.1-A4.1,A5,A3,A3.1-A4.1,A3
113610_cam_survey_1_frame1077.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1-A4.1,A3
105317_cam-np3_frame280.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1-A4.1,A3
113610_cam_survey_1_frame1158.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1-A4.1,A3
125355_forcadinho-np3_frame1092.jpg,A3.7-A4.7,A3.1-A4.1,A3,A3,A3.1-A4.1,A3
132143_forcadinho-np3_frame584.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1-A4.1,A3
132143_forcadinho-np3_frame3946.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1-A4.1,A3
105317_cam-np3_frame1728.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1-A4.1,A3
132143_forcadinho-np3_frame121.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1-A4.1,A3
132143_forcadinho-np3_frame1415.jpg,A3.7-A4.7,A3.1-A4.1,A3,A3,A3.1-A4.1,A3
132143_forcadinho-np3_frame158.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1-A4.1,A3
132143_forcadinho-np3_frame120.jpg,A3.7-A4.7,A3.1-A4.1,A3,A3,A3.1-A4.1,A3
105317_cam-np3_frame1867.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1-A4.1,A3
132143_forcadinho-np3_frame3246.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1-A4.1,A3
132143_forcadinho-np3_frame1270.jpg,A3.1-A4.1,A5.1,A3,A5,A3.1-A4.1,A3
113610_cam_survey_1_frame556.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1-A4.1,A3
125355_forcadinho-np3_frame1563.jpg,A3.1-A4.1,A5.1,A3,A5,A3.1-A4.1,A3
132143_forcadinho-np3_frame814.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A3.1-A4.1,A3
105317_cam-np3_frame1909.jpg,A3.1-A4.1,A5.1,A3,A5,A3.1-A4.1,A3
113610_cam_survey_1_frame1217.jpg,A3.1-A4.1,A5.1,A3,A5,A3.1-A4.1,A3
113610_cam_survey_1_frame1618.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A5.4,A5
132143_forcadinho-np3_frame1704.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A5.4,A5
132143_forcadinho-np3_frame1675.jpg,A5.1,A3.1-A4.1,A5,A3,A5.4,A5
113610_cam_survey_1_frame1593.jpg,A5.1,A3.1-A4.1,A5,A3,A5.4,A5
113610_cam_survey_1_frame1132.jpg,A5.1,A3.1-A4.1,A5,A3,A5.4,A5
113610_cam_survey_1_frame1590.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A5.4,A5
132143_forcadinho-np3_frame1691.jpg,A5.1,A3.1-A4.1,A5,A3,A5.4,A5
113610_cam_survey_1_frame1629.jpg,A5.1,A3.1-A4.1,A5,A3,A5.4,A5
113610_cam_survey_1_frame1127.jpg,A5.1,A3.1-A4.1,A5,A3,A5.4,A5
113610_cam_survey_1_frame1118.jpg,A5.1,A3.1-A4.1,A5,A3,A5.4,A5
113610_cam_survey_1_frame1124.jpg,A5.1,A3.1-A4.1,A5,A3,A5.4,A5
125355_forcadinho-np3_frame43.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A5.4,A5
113610_cam_survey_1_frame1595.jpg,A5.2,A5.1,A5,A5,A5.4,A5
113610_cam_survey_1_frame1589.jpg,A5.2,A5.1,A5,A5,A5.4,A5
132143_forcadinho-np3_frame1711.jpg,A5.2,A3.1-A4.1,A5,A3,A5.4,A5
113610_cam_survey_1_frame1114.jpg,A5.2,A5.1,A5,A5,A5.4,A5
125355_forcadinho-np3_frame54.jpg,A5.2,A5.4,A5,A5,A5.4,A5
113610_cam_survey_1_frame1128.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A5.4,A5
132143_forcadinho-np3_frame1688.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A5.4,A5
132143_forcadinho-np3_frame1692.jpg,A3.1-A4.1,A5.2,A3,A5,A5.4,A5
132143_forcadinho-np3_frame1684.jpg,A3.1-A4.1,A5.2,A3,A5,A5.4,A5
113610_cam_survey_1_frame1126.jpg,A5.2,A3.1-A4.1,A5,A3,A5.4,A5
113610_cam_survey_1_frame1621.jpg,A5.2,A5.1,A5,A5,A5.4,A5
113610_cam_survey_1_frame1588.jpg,A5.2,A5.1,A5,A5,A5.4,A5
113610_cam_survey_1_frame1089.jpg,A5.2,A5.1,A5,A5,A5.4,A5
113610_cam_survey_1_frame1125.jpg,A5.2,A5.1,A5,A5,A5.4,A5
132143_forcadinho-np3_frame1680.jpg,A5.2,A5.1,A5,A5,A5.4,A5
113610_cam_survey_1_frame1623.jpg,A5.2,A5.1,A5,A5,A5.4,A5
113610_cam_survey_1_frame1109.jpg,A5.2,A5.1,A5,A5,A5.4,A5
113610_cam_survey_1_frame1119.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A5.4,A5
113610_cam_survey_1_frame1112.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A5.4,A5
132143_forcadinho-np3_frame1673.jpg,A5.1,A3.1-A4.1,A5,A3,A5.4,A5
125355_forcadinho-np3_frame49.jpg,A3.1-A4.1,A5.4,A3,A5,A5.4,A5
125355_forcadinho-np3_frame46.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A5.4,A5
132143_forcadinho-np3_frame1671.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A5.4,A5
113610_cam_survey_1_frame1111.jpg,A3.7-A4.7,A3.1-A4.1,A3,A3,A5.4,A5
113610_cam_survey_1_frame1117.jpg,A3.7-A4.7,A3.1-A4.1,A3,A3,A5.4,A5
113610_cam_survey_1_frame1102.jpg,A3.7-A4.7,A3.1-A4.1,A3,A3,A5.4,A5
132143_forcadinho-np3_frame1682.jpg,A3.7-A4.7,A3.1-A4.1,A3,A3,A5.4,A5
105317_cam-np3_frame1739.jpg,A3.7-A4.7,A3.1-A4.1,A3,A3,A5.4,A5
132143_forcadinho-np3_frame2695.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A5.1,A5
132143_forcadinho-np3_frame2037.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A5.1,A5
132143_forcadinho-np3_frame3450.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A5.1,A5
125355_forcadinho-np3_frame1683.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A5.1,A5
113610_cam_survey_1_frame864.jpg,A5.1,A5.4,A5,A5,A5.1,A5
113610_cam_survey_1_frame1677.jpg,A5.1,A5.4,A5,A5,A5.1,A5
132143_forcadinho-np3_frame3380.jpg,A5.1,A5.4,A5,A5,A5.1,A5
132143_forcadinho-np3_frame2726.jpg,A5.1,A5.4,A5,A5,A5.1,A5
113610_cam_survey_1_frame706.jpg,A5.1,A5.4,A5,A5,A5.1,A5
125355_forcadinho-np3_frame1483.jpg,A5.1,A5.4,A5,A5,A5.1,A5
132143_forcadinho-np3_frame1930.jpg,A5.1,A5.4,A5,A5,A5.1,A5
132143_forcadinho-np3_frame3502.jpg,A5.1,A5.4,A5,A5,A5.1,A5
132143_forcadinho-np3_frame3657.jpg,A5.1,A5.4,A5,A5,A5.1,A5
132143_forcadinho-np3_frame2055.jpg,A5.1,A5.2,A5,A5,A5.1,A5
132143_forcadinho-np3_frame2042.jpg,A5.2,A5.1,A5,A5,A5.1,A5
113610_cam_survey_1_frame1754.jpg,A5.1,A5.4,A5,A5,A5.1,A5
132143_forcadinho-np3_frame3372.jpg,A5.1,A3.1-A4.1,A5,A3,A5.1,A5
132143_forcadinho-np3_frame3352.jpg,A5.1,A3.1-A4.1,A5,A3,A5.1,A5
125355_forcadinho-np3_frame629.jpg,A5.1,A5.2,A5,A5,A5.1,A5
132143_forcadinho-np3_frame1820.jpg,A3.1-A4.1,A5.1,A3,A5,A5.1,A5
113610_cam_survey_1_frame705.jpg,A3.1-A4.1,A5.1,A3,A5,A5.1,A5
132143_forcadinho-np3_frame2672.jpg,A3.1-A4.1,A5.1,A3,A5,A5.1,A5
132143_forcadinho-np3_frame3613.jpg,A5.2,A5.1,A5,A5,A5.1,A5
132143_forcadinho-np3_frame3546.jpg,A5.2,A5.1,A5,A5,A5.1,A5
125355_forcadinho-np3_frame1711.jpg,A5.1,A3.1-A4.1,A5,A3,A5.1,A5
132143_forcadinho-np3_frame3517.jpg,A5.1,A3.1-A4.1,A5,A3,A5.1,A5
132143_forcadinho-np3_frame3521.jpg,A5.1,A3.1-A4.1,A5,A3,A5.1,A5
125355_forcadinho-np3_frame1533.jpg,A5.1,A3.1-A4.1,A5,A3,A5.1,A5
132143_forcadinho-np3_frame2776.jpg,A5.1,A3.1-A4.1,A5,A3,A5.1,A5
132143_forcadinho-np3_frame2716.jpg,A3.1-A4.1,A5.1,A3,A5,A5.1,A5
132143_forcadinho-np3_frame3469.jpg,A3.1-A4.1,A5.1,A3,A5,A5.1,A5
132143_forcadinho-np3_frame3528.jpg,A5.1,A3.1-A4.1,A5,A3,A5.1,A5
125355_forcadinho-np3_frame1704.jpg,A5.1,A3.1-A4.1,A5,A3,A5.1,A5
132143_forcadinho-np3_frame3479.jpg,A3.7-A4.7,A3.1-A4.1,A3,A3,A5.1,A5
113610_cam_survey_1_frame652.jpg,A3.7-A4.7,A3.1-A4.1,A3,A3,A5.1,A5
125355_forcadinho-np3_frame1513.jpg,A3.7-A4.7,A3.1-A4.1,A3,A3,A5.1,A5
132143_forcadinho-np3_frame1869.jpg,A3.7-A4.7,A3.1-A4.1,A3,A3,A5.1,A5
132143_forcadinho-np3_frame2021.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A5.1,A5
125355_forcadinho-np3_frame1709.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A5.1,A5
113610_cam_survey_1_frame1152.jpg,A5.1,A3.1-A4.1,A5,A3,A5.1,A5
125355_forcadinho-np3_frame444.jpg,A5.1,A3.1-A4.1,A5,A3,A5.2,A5
125355_forcadinho-np3_frame463.jpg,A5.1,A3.1-A4.1,A5,A3,A5.2,A5
132143_forcadinho-np3_frame902.jpg,A5.1,A3.1-A4.1,A5,A3,A5.2,A5
132143_forcadinho-np3_frame899.jpg,A5.1,A3.1-A4.1,A5,A3,A5.2,A5
125355_forcadinho-np3_frame456.jpg,A5.1,A3.1-A4.1,A5,A3,A5.2,A5
132143_forcadinho-np3_frame896.jpg,A5.1,A3.1-A4.1,A5,A3,A5.2,A5
125355_forcadinho-np3_frame467.jpg,A5.1,A3.1-A4.1,A5,A3,A5.2,A5
125355_forcadinho-np3_frame466.jpg,A5.1,A3.1-A4.1,A5,A3,A5.2,A5
132143_forcadinho-np3_frame3916.jpg,A5.1,A3.1-A4.1,A5,A3,A5.2,A5
132143_forcadinho-np3_frame3907.jpg,A5.1,A3.1-A4.1,A5,A3,A5.2,A5
125355_forcadinho-np3_frame460.jpg,A5.1,A3.1-A4.1,A5,A3,A5.2,A5
125355_forcadinho-np3_frame471.jpg,A5.1,A3.1-A4.1,A5,A3,A5.2,A5
113610_cam_survey_1_frame1137.jpg,A5.1,A3.1-A4.1,A5,A3,A5.2,A5
132143_forcadinho-np3_frame3940.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A5.2,A5
132143_forcadinho-np3_frame3897.jpg,A5.1,A3.1-A4.1,A5,A3,A5.2,A5
113610_cam_survey_1_frame1135.jpg,A3.1-A4.1,A5.1,A3,A5,A5.2,A5
113610_cam_survey_1_frame1140.jpg,A3.7-A4.7,A3.1-A4.1,A3,A3,A5.2,A5
113610_cam_survey_1_frame1146.jpg,A5.2,A5.1,A5,A5,A5.2,A5
132143_forcadinho-np3_frame3908.jpg,A5.2,A5.1,A5,A5,A5.2,A5
132143_forcadinho-np3_frame1593.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A5.2,A5
125355_forcadinho-np3_frame457.jpg,A5.2,A5.1,A5,A5,A5.2,A5
125355_forcadinho-np3_frame464.jpg,A5.2,A5.1,A5,A5,A5.2,A5
125355_forcadinho-np3_frame455.jpg,A5.2,A3.7-A4.7,A5,A3,A5.2,A5
132143_forcadinho-np3_frame906.jpg,A5.2,A3.7-A4.7,A5,A3,A5.2,A5
132143_forcadinho-np3_frame903.jpg,A5.2,A5.1,A5,A5,A5.2,A5
132143_forcadinho-np3_frame3935.jpg,A5.2,A5.1,A5,A5,A5.2,A5
125355_forcadinho-np3_frame408.jpg,A5.2,A5.1,A5,A5,A5.2,A5
105317_cam-np3_frame887.jpg,A5.1,A3.1-A4.1,A5,A3,A5.2,A5
132143_forcadinho-np3_frame2576.jpg,A5.1,A3.1-A4.1,A5,A3,A5.2,A5
125355_forcadinho-np3_frame465.jpg,A3.7-A4.7,A3.1-A4.1,A3,A3,A5.2,A5
132143_forcadinho-np3_frame995.jpg,A3.7-A4.7,A3.1-A4.1,A3,A3,A5.2,A5
125355_forcadinho-np3_frame447.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A5.2,A5
132143_forcadinho-np3_frame1597.jpg,A3.7-A4.7,A3.1-A4.1,A3,A3,A5.2,A5
132143_forcadinho-np3_frame1595.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A5.2,A5
113610_cam_survey_1_frame1144.jpg,A5.2,A3.1-A4.1,A5,A3,A5.2,A5
125355_forcadinho-np3_frame454.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A5.2,A5
132143_forcadinho-np3_frame3923.jpg,A3.7-A4.7,A3.1-A4.1,A3,A3,A5.2,A5
132143_forcadinho-np3_frame1889.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A5.2,A5
105317_cam-np3_frame848.jpg,A3.7-A4.7,A3.1-A4.1,A3,A3,A5.2,A5
113610_cam_survey_1_frame1134.jpg,A3.1-A4.1,A3.7-A4.7,A3,A3,A5.2,A5
